chr1,	382.4,	0.982,	199898,	809,	131814,	0.703
chr2,	326.9,	0.983,	199129,	948,	138232,	0.74
chr3,	392.7,	0.98,	171662,	490,	105825,	0.783
chr4,	382.2,	0.98,	180181,	583,	123246,	0.777
chr5,	385.3,	0.976,	163635,	444,	91937,	0.79
chr6,	371.2,	0.978,	165481,	567,	99684,	0.776
chr7,	379.8,	0.977,	156158,	510,	89893,	0.769
chr8,	403.6,	0.982,	137672,	448,	84301,	0.76
chr9,	343.0,	0.978,	118167,	543,	90655,	0.648
chr10,	366.6,	0.981,	129780,	433,	87304,	0.766
chr11,	351.8,	0.971,	117556,	385,	87505,	0.761
chr12,	378.8,	0.983,	118745,	347,	74794,	0.789
chr13,	394.3,	0.982,	89622,	249,	63523,	0.798
chr14,	417.9,	0.973,	84300,	300,	52958,	0.817
chr15,	337.0,	0.975,	76212,	311,	56556,	0.763
chr16,	358.7,	0.978,	84981,	284,	51677,	0.697
chr17,	328.2,	0.972,	72301,	294,	44523,	0.755
chr18,	350.6,	0.988,	65904,	213,	49038,	0.749
chr19,	416.4,	0.983,	63532,	157,	33724,	0.797
chr20,	342.8,	0.978,	58030,	222,	33670,	0.727
chr21,	326.1,	0.973,	38594,	131,	25645,	0.726
chr22,	305.0,	0.97,	37693,	147,	24856,	0.812

Full report:
##Block_i,	Start_pos,	block_length,	num_phased_SNV,	block_quality 
38,	3092855,	93552,	117,	1.0
39,	3203972,	145803,	129,	1.0
40,	3369824,	15432,	6,	1.0
41,	3413690,	118938,	135,	1.0
42,	3562625,	280477,	303,	1.0
43,	3995288,	210633,	526,	0.99443
44,	4222684,	601648,	1023,	1.0
45,	4843525,	1418,	2,	NaN
46,	4874427,	37924,	27,	1.0
47,	4933235,	66851,	136,	0.9749
48,	5017346,	125447,	105,	1.0
49,	5164531,	376276,	494,	0.99446
50,	5561239,	70123,	84,	1.0
51,	5654561,	2542,	5,	1.0
52,	5677775,	181969,	400,	0.98734
53,	5876864,	362758,	383,	1.0
54,	6257284,	36711,	25,	1.0
55,	6306912,	23586,	8,	1.0
56,	6355905,	8916,	2,	NaN
57,	6383795,	39780,	8,	1.0
58,	6481842,	2194,	2,	1.0
59,	6500608,	22,	2,	NaN
60,	6538593,	751188,	875,	0.9979
61,	7305251,	38995,	35,	1.0
62,	7363725,	7039,	5,	NaN
63,	7399869,	241519,	347,	1.0
64,	7661071,	11295,	2,	1.0
65,	7702009,	805764,	869,	0.98207
66,	8527520,	124634,	48,	0.84714
67,	8682545,	190466,	40,	0.81146
68,	8888114,	27421,	6,	1.0
69,	8937773,	3693,	2,	NaN
70,	8971274,	143435,	92,	1.0
71,	9132520,	471298,	689,	1.0
72,	9618469,	6330,	3,	NaN
73,	9656571,	114294,	119,	1.0
74,	9794647,	2348,	2,	NaN
75,	9824058,	0,	1,	NaN
76,	9876596,	48,	2,	NaN
77,	9889967,	22602,	19,	1.0
78,	9937041,	7248,	2,	1.0
79,	9958894,	157,	2,	1.0
80,	10019455,	19525,	5,	1.0
81,	10061807,	281,	2,	1.0
82,	10177077,	14980,	4,	NaN
83,	10231950,	55421,	12,	NaN
84,	10333685,	9963,	2,	NaN
85,	10407354,	7592,	2,	NaN
86,	10471209,	72842,	12,	0.7619
87,	10617906,	10480,	2,	NaN
88,	10647977,	2367,	2,	NaN
89,	10668800,	5073,	4,	NaN
90,	10738252,	157686,	93,	1.0
91,	10921207,	20042,	4,	NaN
92,	10958191,	138231,	144,	1.0
93,	11125884,	17804,	4,	NaN
94,	11157429,	14615,	3,	NaN
95,	11212066,	12850,	4,	1.0
96,	11283389,	41130,	6,	1.0
97,	11349631,	67217,	48,	1.0
98,	11433574,	9989,	9,	NaN
99,	11464668,	27169,	9,	1.0
100,	11512291,	766641,	788,	0.99714
101,	12329295,	16752,	6,	1.0
102,	12414859,	29966,	10,	1.0
103,	12460002,	78234,	17,	1.0
104,	12562694,	30234,	13,	1.0
105,	12602979,	1341,	2,	NaN
106,	12645531,	4545,	4,	1.0
107,	12674759,	48425,	35,	1.0
108,	12746211,	36781,	28,	1.0
109,	12795461,	2577,	3,	NaN
110,	12817500,	139728,	253,	1.0
111,	12967266,	33986,	107,	1.0
112,	13003254,	10894,	39,	NaN
113,	13019672,	6602,	18,	NaN
114,	13046437,	5709,	41,	1.0
115,	13134969,	84098,	176,	1.0
116,	13337037,	6337,	33,	NaN
117,	13368628,	17846,	68,	0.77778
118,	13390540,	4463,	4,	NaN
119,	13403093,	8611,	9,	NaN
120,	13420510,	2767,	13,	NaN
121,	13439409,	40012,	333,	1.0
122,	13507310,	1199,	4,	NaN
123,	13513436,	17567,	33,	NaN
124,	13545658,	11428,	63,	1.0
125,	13622879,	1179,	2,	NaN
126,	13630342,	4076,	6,	NaN
127,	13639620,	2943,	8,	NaN
128,	13663142,	40520,	424,	1.0
129,	13726926,	63586,	88,	1.0
130,	13808087,	148972,	215,	1.0
131,	13973941,	237158,	196,	1.0
132,	14268773,	255137,	461,	1.0
133,	14571321,	0,	1,	NaN
134,	14590116,	783707,	917,	0.99444
135,	15387680,	16124,	3,	1.0
136,	15423477,	230908,	398,	1.0
137,	15676050,	6465,	11,	1.0
138,	15699327,	69174,	65,	1.0
139,	15797143,	1095,	2,	NaN
140,	15813969,	114424,	189,	1.0
141,	15959427,	459,	2,	NaN
142,	15978944,	120231,	28,	1.0
143,	16116998,	9868,	9,	1.0
144,	16153997,	67736,	10,	1.0
145,	16284984,	22438,	5,	1.0
146,	16329215,	12435,	4,	1.0
147,	16354280,	542138,	1270,	0.99786
148,	16899338,	226100,	1198,	0.87316
149,	17175879,	635824,	1362,	0.99131
150,	17829454,	3957,	3,	NaN
151,	17845318,	89859,	107,	1.0
152,	17950734,	29699,	19,	1.0
153,	18005940,	126202,	107,	1.0
154,	18146918,	62143,	46,	1.0
155,	18239905,	14333,	4,	1.0
156,	18277471,	54717,	47,	1.0
157,	18423323,	40838,	42,	1.0
158,	18489949,	354899,	563,	1.0
159,	18860592,	210598,	256,	1.0
160,	19087618,	697276,	814,	1.0
161,	19802721,	196184,	189,	1.0
162,	20020390,	174361,	181,	1.0
163,	20214326,	45067,	8,	1.0
164,	20271526,	36541,	19,	1.0
165,	20376284,	66594,	48,	1.0
166,	20466830,	41583,	27,	1.0
167,	20606468,	15762,	17,	1.0
168,	20645086,	25684,	5,	1.0
169,	20708960,	8758,	2,	NaN
170,	20763806,	1213132,	1435,	0.99248
171,	21998818,	145983,	63,	0.91697
172,	22173449,	25989,	3,	NaN
173,	22228226,	17785,	3,	NaN
174,	22265037,	14223,	3,	NaN
175,	22296773,	97207,	36,	1.0
176,	22408107,	37614,	10,	1.0
177,	22469072,	714058,	921,	0.99762
178,	23206738,	512533,	567,	0.98701
179,	23734744,	23755,	6,	1.0
180,	23784293,	17281,	4,	NaN
181,	23820266,	212349,	229,	0.97154
182,	24055116,	171364,	191,	1.0
183,	24245878,	696342,	888,	1.0
184,	24960707,	621,	24,	NaN
185,	25139872,	28253,	4,	NaN
186,	25196873,	55620,	20,	1.0
187,	25269437,	300644,	387,	0.995
188,	25586488,	194469,	71,	0.8
189,	25802056,	5419,	3,	NaN
190,	25836867,	15561,	4,	NaN
191,	25874152,	143715,	52,	1.0
192,	26070909,	98766,	55,	1.0
193,	26258544,	145148,	186,	1.0
194,	26434379,	288618,	317,	1.0
195,	26741285,	178129,	167,	1.0
196,	26934695,	12196,	3,	NaN
197,	26965889,	81760,	109,	1.0
198,	27074600,	17822,	3,	NaN
199,	27130799,	74201,	22,	NaN
200,	27251101,	23362,	11,	NaN
201,	27299900,	51934,	10,	NaN
202,	27367686,	144849,	180,	1.0
203,	27529824,	332627,	304,	1.0
204,	27932412,	5220,	2,	NaN
205,	27960254,	5878,	2,	NaN
206,	27984498,	27356,	9,	1.0
207,	28047451,	27634,	5,	NaN
208,	28135790,	35,	3,	NaN
209,	28203898,	18221,	10,	1.0
210,	28242706,	11317,	5,	NaN
211,	28268834,	433742,	358,	1.0
212,	28718603,	43204,	12,	1.0
213,	28779268,	26964,	5,	1.0
214,	28831578,	107380,	35,	1.0
215,	28953218,	162798,	128,	1.0
216,	29140636,	11357,	4,	NaN
217,	29165688,	481189,	379,	1.0
218,	29659742,	171802,	183,	1.0
219,	30028797,	1099790,	1643,	1.0
220,	31166788,	457241,	444,	1.0
221,	31639834,	73553,	151,	1.0
222,	31724901,	9452,	3,	NaN
223,	31796179,	11017,	3,	NaN
224,	31820868,	6788,	2,	NaN
225,	31854997,	0,	1,	NaN
226,	31899685,	5353,	38,	NaN
227,	31934701,	34382,	7,	1.0
228,	31971684,	281426,	317,	1.0
229,	32354940,	11129,	2,	NaN
230,	32390324,	1428,	2,	NaN
231,	32438231,	28100,	7,	1.0
232,	32487186,	27865,	5,	1.0
233,	32535939,	195135,	144,	1.0
234,	32748063,	13725,	5,	NaN
235,	32842319,	12426,	2,	NaN
236,	32902662,	29772,	5,	1.0
237,	32947739,	517913,	424,	0.98726
238,	33500171,	31795,	5,	NaN
239,	33550323,	18296,	5,	NaN
240,	33584978,	18229,	7,	1.0
241,	33620150,	59333,	10,	0.5
242,	33697976,	9580,	2,	NaN
243,	33732772,	11974,	3,	NaN
244,	33771312,	16843,	5,	1.0
245,	33821874,	4,	2,	NaN
246,	33837045,	2585,	2,	NaN
247,	33865631,	32436,	6,	1.0
248,	33923298,	140421,	127,	1.0
249,	34136136,	118640,	80,	1.0
250,	34278517,	96523,	133,	1.0
251,	34443778,	9751,	4,	NaN
252,	34538480,	30594,	44,	1.0
253,	34584393,	302604,	283,	1.0
254,	34912885,	396246,	560,	1.0
255,	35338372,	51431,	24,	1.0
256,	35440093,	4432,	2,	NaN
257,	35479295,	10999,	3,	NaN
258,	35535250,	18809,	3,	NaN
259,	35581684,	15971,	3,	NaN
260,	35629895,	18597,	3,	1.0
261,	35671357,	38887,	42,	1.0
262,	35725203,	10737,	3,	NaN
263,	35770457,	1753,	2,	NaN
264,	35785238,	70133,	19,	1.0
265,	35886974,	180884,	36,	1.0
266,	36087661,	42390,	11,	1.0
267,	36156464,	28925,	9,	NaN
268,	36265927,	32779,	7,	0.0
269,	36322433,	7012,	3,	NaN
270,	36370006,	6127,	3,	NaN
271,	36422238,	7682,	2,	NaN
272,	36454955,	441259,	400,	1.0
273,	36915552,	3707,	2,	NaN
274,	36950775,	70301,	63,	1.0
275,	37041797,	196760,	202,	1.0
276,	37264855,	169064,	233,	1.0
277,	37456573,	183964,	161,	1.0
278,	37663208,	871315,	887,	0.9927
279,	38559352,	93376,	81,	1.0
280,	38662698,	21345,	23,	1.0
281,	38723263,	190324,	204,	0.99389
282,	38951131,	218623,	205,	1.0
283,	39184659,	1074290,	1068,	1.0
284,	40279124,	56372,	18,	1.0
285,	40355009,	964223,	969,	1.0
286,	41332132,	3144,	3,	NaN
287,	41354272,	98608,	81,	1.0
288,	41493059,	40079,	11,	1.0
289,	41553638,	16820,	3,	NaN
290,	41585127,	16577,	5,	NaN
291,	41648415,	10785,	2,	NaN
292,	41715237,	15467,	5,	NaN
293,	41772063,	202965,	190,	1.0
294,	41992489,	40898,	35,	NaN
295,	42054814,	221188,	233,	1.0
296,	42296423,	15660,	5,	1.0
297,	42339686,	317133,	228,	1.0
298,	42672413,	525090,	476,	1.0
299,	43221042,	10650,	3,	NaN
300,	43273814,	2,	2,	NaN
301,	43296455,	163652,	200,	1.0
302,	43483174,	227269,	261,	1.0
303,	43733721,	52614,	18,	1.0
304,	43816905,	9194,	3,	NaN
305,	43851111,	25194,	5,	NaN
306,	43915637,	17069,	3,	NaN
307,	43959026,	3431,	3,	NaN
308,	43994328,	45731,	7,	NaN
309,	44071296,	27387,	6,	1.0
310,	44124211,	8693,	3,	NaN
311,	44165257,	23079,	5,	NaN
312,	44223844,	7613,	2,	NaN
313,	44246356,	586136,	597,	0.9913
314,	44855878,	319352,	243,	0.98597
315,	45198562,	11964,	2,	NaN
316,	45261194,	20807,	5,	NaN
317,	45331262,	32233,	5,	NaN
318,	45408083,	9575,	5,	NaN
319,	45432002,	17388,	3,	1.0
320,	45472135,	5510,	2,	NaN
321,	45489142,	561419,	540,	1.0
322,	46067269,	580624,	471,	0.98956
323,	46664249,	70823,	27,	1.0
324,	46753027,	904466,	1184,	0.99806
325,	47704208,	5465,	5,	1.0
326,	47779024,	26358,	8,	NaN
327,	47835549,	29119,	4,	NaN
328,	47883025,	10663,	2,	NaN
329,	47906874,	1599,	2,	NaN
330,	47955614,	15385,	5,	NaN
331,	47987554,	58766,	54,	1.0
332,	48058278,	14083,	4,	NaN
333,	48086773,	270263,	197,	1.0
334,	48375506,	48492,	7,	NaN
335,	48521150,	455365,	374,	1.0
336,	49006567,	90868,	71,	1.0
337,	49140797,	22130,	3,	NaN
338,	49216371,	13489,	3,	NaN
339,	49254968,	1,	2,	NaN
340,	49285962,	996,	2,	NaN
341,	49306262,	0,	1,	NaN
342,	49429742,	13906,	2,	NaN
343,	49555975,	60982,	10,	1.0
344,	49651468,	1299,	2,	NaN
345,	49673142,	30078,	5,	NaN
346,	49725167,	21219,	5,	NaN
347,	49825106,	36420,	7,	NaN
348,	49885102,	6509,	2,	NaN
349,	49907712,	0,	1,	NaN
350,	49977295,	17045,	4,	NaN
351,	50009491,	23720,	4,	1.0
352,	50055185,	3131,	2,	NaN
353,	50081189,	7630,	3,	1.0
354,	50180265,	6967,	2,	NaN
355,	50251567,	26764,	6,	1.0
356,	50298015,	17618,	2,	1.0
357,	50358937,	20385,	6,	NaN
358,	50395013,	30622,	6,	NaN
359,	50441099,	939,	2,	NaN
360,	50468336,	19931,	4,	1.0
361,	50592601,	26989,	2,	NaN
362,	50644891,	27642,	8,	0.66667
363,	50692485,	21658,	6,	1.0
364,	50736938,	30121,	7,	NaN
365,	50785294,	153165,	267,	1.0
366,	50954996,	525262,	191,	0.97024
367,	51526458,	17696,	4,	NaN
368,	51584686,	4969,	3,	NaN
369,	51630753,	3633,	2,	1.0
370,	51729955,	4,	3,	NaN
371,	51816210,	6853,	3,	NaN
372,	51892511,	4152,	4,	NaN
373,	51909598,	6318,	2,	NaN
374,	51973902,	66,	6,	NaN
375,	51996709,	0,	1,	NaN
376,	52015183,	24319,	4,	NaN
377,	52063097,	372941,	248,	1.0
378,	52496978,	75313,	9,	1.0
379,	52582630,	23858,	4,	NaN
380,	52624715,	22939,	5,	1.0
381,	52664894,	2539,	2,	NaN
382,	52685476,	6055,	3,	1.0
383,	52756330,	33613,	5,	1.0
384,	52806589,	8431,	3,	NaN
385,	52830530,	64748,	8,	1.0
386,	52913149,	2436,	2,	NaN
387,	52968394,	6071,	2,	1.0
388,	53000501,	15583,	4,	1.0
389,	53039849,	7792,	3,	1.0
390,	53084742,	53598,	38,	1.0
391,	53159824,	8284,	2,	NaN
392,	53184345,	37127,	11,	0.5
393,	53232767,	7198,	4,	1.0
394,	53262752,	20759,	15,	1.0
395,	53400625,	740,	2,	1.0
396,	53424871,	27813,	7,	NaN
397,	53465364,	12162,	4,	1.0
398,	53501630,	6308,	3,	1.0
399,	53543731,	23990,	5,	NaN
400,	53589927,	17340,	3,	NaN
401,	53628029,	6320,	6,	1.0
402,	53660993,	126680,	97,	1.0
403,	53803461,	77793,	85,	0.96325
404,	53899244,	13495,	5,	1.0
405,	53944440,	35602,	9,	NaN
406,	54031895,	6762,	5,	NaN
407,	54068568,	2062,	2,	NaN
408,	54100738,	104113,	159,	1.0
409,	54224072,	96833,	75,	1.0
410,	54342517,	235884,	221,	1.0
411,	54596426,	551214,	692,	0.99624
412,	55168084,	359239,	532,	1.0
413,	55556428,	1112,	2,	1.0
414,	55608005,	2419,	2,	1.0
415,	55630151,	252096,	217,	0.96351
416,	55903668,	509592,	741,	1.0
417,	56438354,	297,	3,	1.0
418,	56467473,	3783,	2,	NaN
419,	56505315,	903719,	1124,	1.0
420,	57432128,	382389,	325,	0.99434
421,	57831913,	253409,	273,	1.0
422,	58099554,	46416,	15,	NaN
423,	58164124,	522438,	581,	1.0
424,	58700416,	646102,	848,	1.0
425,	59373637,	42120,	7,	1.0
426,	59467875,	31919,	5,	NaN
427,	59555770,	116855,	79,	1.0
428,	59694611,	448424,	459,	1.0
429,	60164778,	120609,	108,	1.0
430,	60312253,	9405,	3,	NaN
431,	60344616,	7822,	2,	NaN
432,	60369055,	31632,	5,	1.0
433,	60465832,	910962,	848,	1.0
434,	61433736,	8273,	2,	NaN
435,	61458186,	246177,	201,	1.0
436,	61716702,	409820,	391,	1.0
437,	62159403,	16716,	3,	1.0
438,	62208244,	511661,	609,	0.99207
439,	62758335,	5535,	2,	NaN
440,	62787689,	41387,	22,	1.0
441,	62871083,	994928,	1013,	0.99828
442,	63887984,	856,	10,	NaN
443,	63927838,	12757,	4,	1.0
444,	63956378,	12672,	3,	1.0
445,	64005808,	7749,	2,	1.0
446,	64033048,	21492,	3,	1.0
447,	64069612,	209040,	282,	1.0
448,	64291940,	166846,	133,	1.0
449,	64519223,	148736,	276,	0.98851
450,	64679749,	286687,	437,	1.0
451,	64983911,	59944,	14,	1.0
452,	65063861,	29752,	7,	NaN
453,	65147002,	73164,	38,	1.0
454,	65235569,	3875,	2,	NaN
455,	65263608,	299544,	330,	1.0
456,	65583439,	12487,	3,	NaN
457,	65633497,	21606,	3,	NaN
458,	65676979,	176134,	235,	1.0
459,	65871136,	1483,	2,	NaN
460,	65894069,	464039,	740,	1.0
461,	66415494,	22892,	4,	NaN
462,	66475598,	7924,	2,	NaN
463,	66529180,	124969,	102,	1.0
464,	66668761,	1859,	2,	NaN
465,	66685796,	451049,	598,	1.0
466,	67158014,	32185,	40,	1.0
467,	67212069,	151509,	86,	1.0
468,	67396742,	56293,	8,	1.0
469,	67472374,	50948,	9,	NaN
470,	67540912,	13024,	5,	NaN
471,	67584781,	12029,	4,	NaN
472,	67649496,	268418,	254,	0.97732
473,	67934696,	65113,	80,	0.93333
474,	68020554,	644620,	810,	0.99688
475,	68696273,	7882,	2,	NaN
476,	68721141,	21867,	4,	1.0
477,	68760177,	148936,	237,	1.0
478,	68938038,	1,	2,	NaN
479,	69006009,	21987,	5,	NaN
480,	69129893,	26,	3,	NaN
481,	69168941,	214427,	159,	0.98259
482,	69407810,	3630,	2,	NaN
483,	69427279,	65697,	24,	1.0
484,	69511559,	197959,	126,	1.0
485,	69736009,	421077,	499,	1.0
486,	70174032,	13804,	3,	1.0
487,	70218616,	196545,	258,	0.99453
488,	70433721,	4398,	3,	1.0
489,	70454240,	150727,	77,	1.0
490,	70625071,	700,	2,	NaN
491,	70718882,	80680,	22,	1.0
492,	70847310,	1133323,	1105,	0.9964
493,	71998588,	30711,	26,	1.0
494,	72051965,	196087,	97,	0.98036
495,	72271264,	194097,	172,	1.0
496,	72479227,	47020,	7,	NaN
497,	72539510,	14976,	2,	NaN
498,	72609768,	23030,	3,	NaN
499,	72694013,	7071,	3,	NaN
500,	72746391,	35889,	34,	1.0
501,	72793389,	2357,	3,	NaN
502,	72807215,	178921,	192,	1.0
503,	73001526,	21112,	7,	NaN
504,	73048522,	231301,	234,	1.0
505,	73304994,	30872,	7,	1.0
506,	73351002,	29932,	6,	1.0
507,	73436597,	101355,	17,	1.0
508,	73567362,	48910,	17,	0.5
509,	73641530,	593182,	813,	1.0
510,	74297861,	58690,	62,	1.0
511,	74372033,	16065,	3,	NaN
512,	74405658,	17420,	7,	NaN
513,	74437652,	59324,	21,	1.0
514,	74509683,	34233,	14,	1.0
515,	74563905,	49820,	13,	1.0
516,	74627980,	94330,	23,	1.0
517,	74736567,	48315,	14,	0.0
518,	74857855,	33378,	5,	1.0
519,	74919950,	28790,	21,	1.0
520,	74966663,	11721,	3,	NaN
521,	74993751,	25610,	5,	NaN
522,	75081986,	29940,	7,	NaN
523,	75131309,	113318,	140,	1.0
524,	75262699,	205312,	219,	1.0
525,	75495235,	7342,	2,	NaN
526,	75526496,	4440,	3,	1.0
527,	75570895,	18686,	7,	1.0
528,	75615373,	534072,	577,	0.99282
529,	76189369,	668,	2,	NaN
530,	76272608,	47090,	7,	NaN
531,	76340214,	35431,	15,	NaN
532,	76428354,	0,	1,	NaN
533,	76477207,	15649,	19,	1.0
534,	76536113,	89097,	39,	1.0
535,	76664973,	40287,	40,	1.0
536,	76742580,	404097,	400,	1.0
537,	77164514,	3817,	6,	NaN
538,	77190938,	137524,	121,	1.0
539,	77384768,	112919,	126,	1.0
540,	77547831,	320882,	302,	0.98992
541,	77896719,	110904,	92,	0.94671
542,	78019671,	5788,	2,	NaN
543,	78042445,	18155,	9,	1.0
544,	78080275,	32702,	6,	1.0
545,	78135380,	62942,	12,	1.0
546,	78215067,	325,	2,	1.0
547,	78244564,	14070,	8,	1.0
548,	78272317,	42161,	9,	1.0
549,	78329350,	24327,	20,	1.0
550,	78376448,	16843,	5,	1.0
551,	78437554,	40323,	10,	1.0
552,	78498183,	14336,	11,	1.0
553,	78527912,	3646,	2,	1.0
554,	78543030,	5599,	2,	NaN
555,	78564196,	208089,	213,	1.0
556,	78801229,	20109,	4,	NaN
557,	78875106,	14613,	7,	NaN
558,	78957550,	45749,	24,	1.0
559,	79020779,	561828,	692,	0.99674
560,	79668615,	20195,	6,	NaN
561,	79710544,	9214,	3,	NaN
562,	79745627,	10662,	3,	NaN
563,	79773484,	24559,	10,	NaN
564,	79973034,	7158,	2,	NaN
565,	80037282,	14276,	5,	NaN
566,	80101036,	240035,	256,	1.0
567,	80385325,	31254,	6,	NaN
568,	80432514,	4613,	2,	NaN
569,	80473563,	6044,	2,	NaN
570,	80524493,	28213,	5,	NaN
571,	80607587,	5166,	2,	NaN
572,	80686614,	20985,	5,	NaN
573,	80763793,	0,	1,	NaN
574,	80783928,	669406,	931,	0.99734
575,	81470062,	46975,	16,	1.0
576,	81551685,	7814,	3,	NaN
577,	81584525,	13551,	3,	NaN
578,	81623348,	12345,	3,	NaN
579,	81657547,	109388,	65,	0.91843
580,	81781825,	5975,	4,	NaN
581,	81817295,	14352,	3,	NaN
582,	81857883,	314456,	374,	1.0
583,	82182566,	486838,	397,	1.0
584,	82687054,	191461,	335,	0.98972
585,	82896542,	210719,	208,	1.0
586,	83131219,	522990,	519,	1.0
587,	83684187,	23313,	3,	NaN
588,	83732895,	1701,	2,	NaN
589,	83757777,	1,	2,	NaN
590,	83774455,	0,	1,	NaN
591,	83803296,	11707,	3,	NaN
592,	83951461,	12011,	3,	NaN
593,	83997126,	361953,	456,	1.0
594,	84383491,	129380,	31,	1.0
595,	84552606,	7284,	3,	1.0
596,	84585123,	28434,	7,	1.0
597,	84632504,	63768,	10,	1.0
598,	84710959,	66070,	49,	1.0
599,	84798617,	19976,	5,	1.0
600,	84844723,	466469,	461,	1.0
601,	85351296,	663912,	1251,	0.99672
602,	86035098,	41498,	13,	1.0
603,	86094052,	640067,	837,	1.0
604,	86755950,	200364,	249,	1.0
605,	86971778,	45376,	53,	1.0
606,	87036365,	138127,	138,	1.0
607,	87261903,	74006,	25,	1.0
608,	87396474,	87368,	26,	NaN
609,	87505742,	6881,	9,	NaN
610,	87568064,	327913,	300,	1.0
611,	87912328,	42214,	7,	1.0
612,	87968288,	116936,	88,	1.0
613,	88116311,	190022,	214,	1.0
614,	88332246,	4351,	5,	1.0
615,	88384403,	42656,	23,	1.0
616,	88468290,	410822,	349,	1.0
617,	88924166,	102091,	102,	1.0
618,	89056529,	20842,	8,	NaN
619,	89115933,	22541,	4,	1.0
620,	89201326,	21546,	4,	1.0
621,	89276638,	27147,	6,	1.0
622,	89349712,	3047,	3,	NaN
623,	89370267,	0,	1,	NaN
624,	89396038,	17063,	4,	NaN
625,	89455980,	273403,	314,	1.0
626,	89752678,	79786,	87,	1.0
627,	89854121,	14,	2,	NaN
628,	89879815,	21174,	5,	1.0
629,	89915988,	3714,	6,	NaN
630,	90014145,	24890,	4,	NaN
631,	90080978,	10869,	3,	NaN
632,	90124624,	2,	2,	NaN
633,	90153285,	243988,	194,	1.0
634,	90413375,	2106,	2,	1.0
635,	90440967,	215028,	127,	0.9582
636,	90680852,	174,	2,	NaN
637,	90693981,	85046,	71,	1.0
638,	90788954,	19891,	5,	1.0
639,	90844103,	14328,	12,	NaN
640,	90872492,	837,	2,	NaN
641,	90931804,	462033,	365,	1.0
642,	91414206,	1643,	2,	NaN
643,	91436891,	624722,	634,	0.99578
644,	92086506,	425873,	603,	0.99616
645,	92545968,	935868,	781,	1.0
646,	93519907,	10,	2,	NaN
647,	93548873,	15516,	3,	NaN
648,	93590864,	0,	1,	NaN
649,	93669376,	9593,	3,	NaN
650,	93837777,	38620,	8,	NaN
651,	93890396,	9517,	2,	1.0
652,	93972660,	13962,	5,	NaN
653,	94035314,	3880,	2,	NaN
654,	94175909,	361733,	435,	1.0
655,	94556067,	133667,	148,	1.0
656,	94712454,	9786,	3,	NaN
657,	94752849,	36736,	7,	1.0
658,	94828420,	15467,	4,	NaN
659,	94865916,	878339,	1102,	1.0
660,	95781632,	17253,	3,	NaN
661,	95837686,	16299,	13,	1.0
